facility_id,vaccine_type,ADDRESS,street2,city,state,postal_code,country,NAME,url,Phone,VENUE_TYPE,begin_date,end_date,recurrence_days,hours,eligibility,cost,notes,LAT,LON,location
54,MMR,1228 E 53RD ST,,CHICAGO,IL,60615,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 7:30am - 6:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.799756,-87.594707,POINT (-87.594707 41.799756)
15,MMR,641 N. CLARK ST,,Chicago,IL,60654,,Walgreens,https://www.walgreens.com/,312-587-1416,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",7AM-11PM,,Call for details.,,41.893659,-87.630859,POINT (-87.630859 41.893659)
24,MMR,5320 S Pulaski,,Chicago,IL,60632,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-284-7402,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.796226,-87.724966,POINT (-87.724966 41.796226)
56,MMR,137 S STATE ST,,CHICAGO,IL,60603,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 7:30am - 6:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.879686,-87.627318,POINT (-87.627318 41.879686)
58,MMR,2656 N ELSTON AVE,,CHICAGO,IL,60647,,MinuteClinic Inside Target,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 9:00am - 7:30pm; Saturday 9:00am-4:00pm; Sunday 9:00am-4:00pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.928628,-87.685076,POINT (-87.685076 41.928628)
14,MMR,111 S. HALSTED,,Chicago,IL,60661,,Walgreens,https://www.walgreens.com/,312-463-9142,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",M-F 7AM-11PM; SAT-SUN 9AM-9PM,,Call for details.,,41.879894,-87.646983,POINT (-87.646983 41.87989400000001)
27,MMR,11730 S. Marshfield Ave.,,Chicago,IL,60643,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-568-8370,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.680269,-87.664242,POINT (-87.664242 41.680269)
45,MMR,3531 Broadway,,Chicago,IL,60657,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-528-6615,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.946977,-87.646174,POINT (-87.646174 41.946977)
38,MMR,2940 North Ashland,,Chicago,IL,60657,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-348-4155,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.935554,-87.670411,POINT (-87.670411 41.935554)
50,MMR,4801 N CENTRAL AVE,,CHICAGO,IL,60630,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.968233,-87.767051,POINT (-87.767051 41.968233000000005)
62,MMR,3951 W 103RD ST,,CHICAGO,IL,60655,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.705345,-87.720145,POINT (-87.720145 41.705345)
3,MMR,1713 S. Ashland Ave.,,Chicago,IL,60608,,Lower West WIC,https://www.cityofchicago.org/city/en/depts/cdph/supp_info/health-protection/immunizations_walk-inclinics.html,312-743-1198,City WIC,5/13/2019,5/20/2020,"Thursday, Friday",Thursdays & Fridays: 8:00 AM to 3:00 PM.,,"No cost to individual. If insured, insurance will be billed.",,41.85831,-87.66577,POINT (-87.66577 41.85831)
49,MMR,6150 N BROADWAY ST,,CHICAGO,IL,60660,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.99388,-87.660809,POINT (-87.660809 41.993880000000004)
51,MMR,4051 N LINCOLN AVE,,CHICAGO,IL,60618,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.955491,-87.67933,POINT (-87.67933000000001 41.955491)
23,MMR,1655 E. 95th Street,,Chicago,IL,60617,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-731-9650,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.720586,-87.583032,POINT (-87.583032 41.720586)
39,MMR,4042 W. Foster Ave.,,Chicago,IL,60630,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-478-8750,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.976456,-87.729223,POINT (-87.729223 41.976456)
57,MMR,3637 N SOUTHPORT AVE,,CHICAGO,IL,60613,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.948008,-87.663712,POINT (-87.663712 41.948008)
41,MMR,4355 N Sheridan Road,,Chicago,IL,60613,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-525-4766,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.961519,-87.653304,POINT (-87.653304 41.961519)
40,MMR,5343 N Broadway,,Chicago,IL,60640,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-334-2083,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.979414,-87.658961,POINT (-87.658961 41.979414)
22,MMR,7530 Stony Island,,Chicago,IL,60649,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-288-7002,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.758531,-87.587785,POINT (-87.58778500000001 41.758531)
52,MMR,2112 W PETERSON AVE,,CHICAGO,IL,60659,,MinuteClinic Inside Target,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 9:00am - 7:30pm; Saturday 9:00am-4:00pm; Sunday 9:00am-4:00pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.990982,-87.682585,POINT (-87.682585 41.990982)
29,MMR,1341 N Paulina,,Chicago,IL,60622,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-342-5217,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.906587,-87.6695,POINT (-87.6695 41.906587)
28,MMR,6430 W. Irving Park Rd.,,Chicago,IL,60634,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-725-2900,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.954077,-87.78704,POINT (-87.78704 41.954077)
11,MMR,8628 S. COTTAGE GROVE AVE.,,Chicago,IL,60619,,Walgreens,https://www.walgreens.com/,773-651-8500,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24H,,Call for details.,,41.737925,-87.605525,POINT (-87.605525 41.737925)
25,MMR,9400 S. Ashland Ave.,,Chicago,IL,60620,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-779-0017,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.723204,-87.663746,POINT (-87.663746 41.723204)
34,MMR,1224 S Wabash,,Chicago,IL,60605,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,312-663-4646,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.866525,-87.62625,POINT (-87.62625 41.866525)
35,MMR,2520 N. Narragansett Ave.,,Chicago,IL,60639,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-637-1819,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-10pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.926557,-87.786303,POINT (-87.786303 41.926557)
31,MMR,7342 W. Foster Ave,,Chicago,IL,60656,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-775-3777,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.975356,-87.810737,POINT (-87.810737 41.975356)
21,MMR,1763 W Howard St,,Chicago,IL,60626,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-274-1293,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,42.017794,-87.674624,POINT (-87.674624 42.017794)
59,MMR,1154 S CLARK ST,,CHICAGO,IL,60605,,MinuteClinic Inside Target,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 9:00am - 7:30pm; Saturday 9:00am-4:00pm; Sunday 9:00am-4:00pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.868159,-87.631131,POINT (-87.631131 41.868159)
53,MMR,344 W HUBBARD ST,,CHICAGO,IL,60654,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.89023,-87.637229,POINT (-87.637229 41.89023)
36,MMR,370 N. Des Plaines Ave,,Chicago,IL,60661,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,312-243-2714,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.888925,-87.645085,POINT (-87.645085 41.888925)
8,MMR,6310 N. NAGLE AVE.,,Chicago,IL,60646,,Walgreens,https://www.walgreens.com/,773-774-2225,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",M-F 9AM-9PM; SAT 9AM-6PM; SUN 10AM-6PM,,Call for details.,,41.995926,-87.787976,POINT (-87.787976 41.995926)
20,MMR,424 W Division St,,Chicago,IL,60610,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,312-642-2951,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 9am-9pm, Saturday-Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.90548,-87.639474,POINT (-87.639474 41.90548)
48,MMR,6014 S. Cottage Grove,,Chicago,IL,60637,,Jewel-Osco Pharmacy,http://www.jeweloscopharmacies.com,773-358-4301,Pharmacy,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Monday-Friday: 8am-9pm, Saturday: 9am-6pm, Sunday: 9am-5pm",,"Call for details. If insured, insurance will be billed",Earn a coupon to save 10% (up to a $20 value) on your next grocery purchase at Jewel-Osco.,41.946934,-87.64603,POINT (-87.64603 41.946934)
55,MMR,1165 N CLARK,,CHICAGO,IL,60610,,MinuteClinic Inside CVS/pharmacy,https://www.cvs.com/minuteclinic,1-866-389-ASAP (2727),MinuteClinic,5/13/2019,5/20/2020,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",Monday - Friday 8:30am - 7:30pm; Saturday 9:00am-5:30pm; Sunday 9:00am-4:30pm,,See Website for Details:  https://www.cvs.com/minuteclinic/insurance-and-billing,,41.903724,-87.631225,POINT (-87.631225 41.903724000000004)
